Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
WW - Food,,,,10.02,505,5058,18.5,5039.5,
WW - Food,Steak,,,12,4,48,0,48,
WW - Food,BLT,,,12.083333333333334,7,83,0,83,
WW - Food,Turkey Club,,,12.601731601731602,29,378.5,0,378.5,
WW - Food,Chips,,,1.75,44,77,0,77,
WW - Food,Pizzawich,,,10.15,5,50.75,0,50.75,
WW - Food,Ham Kidswich,,,6.178571428571429,10,63.5,0,63.5,
WW - Food,Bac-Hammon,,,13.5625,6,80.25,0,80.25,
WW - Food,Black Bean Patty,,,11.432291666666666,14,167.75,0,167.75,
WW - Food,Chicken Pesto,,,12.875,11,135,0,135,
WW - Food,Ham,,,11.24074074074074,21,241,0,241,
WW - Food,Cuban,,,15.583333333333334,3,46.75,0,46.75,
WW - Food,Caprese,,,11.125,5,55.25,0,55.25,
WW - Food,Bacon & Egg,,,8.5,1,8.5,0,8.5,
WW - Food,Wicked,,,14.652083333333334,20,297.25,0,297.25,
WW - Food,BBQ Pork,,,14,1,14,0,14,
WW - Food,Tomato & Avocado,,,8.5,4,34,0,34,
WW - Food,Grinder,,,10.565972222222221,41,449,6.72,442.28,
WW - Food,Fries,,,4,21,84,0,84,
WW - Food,Turkey Bacon Ranch,,,12.416666666666666,19,239.25,0,239.25,
WW - Food,Courtney's Cookie,,,2.25,15,33.75,1.78,31.97,
WW - Food,Roast Beef,,,9.208333333333334,10,91,0,91,
WW - Food,Turkey,,,11.635218253968254,71,813,10,803,
WW - Food,Chicken Salad,,,11.25,5,53.75,0,53.75,
WW - Food,Turkey Kidswich,,,5.75,11,63.25,0,63.25,
WW - Food,Grilled Cheese,,,5.75,5,28.75,0,28.75,
WW - Food,Muffuletta,,,9.25,5,48.5,0,48.5,
WW - Food,French Dip with Au Jus,,,13.677083333333334,9,129.25,0,129.25,
WW - Food,Buffalo Chicken,,,11.166666666666666,8,84,0,84,
WW - Food,Tuna Salad,,,10.25,9,90.5,0,90.5,
WW - Food,Chicken,,,12.571875,17,217.25,0,217.25,
WW - Food,Cheese Pizzawich,,,6.75,3,20.25,0,20.25,
WW - Food,Egg Salad,,,13.1875,4,52.75,0,52.75,
WW - Food,Tuna Melt,,,9.875,4,39.5,0,39.5,
WW - Food,Phillywich,,,13.515625,9,121,0,121,
WW - Food,Black Bean Patty᠎,,,8.625,2,17.25,0,17.25,
WW - Food,Cali Roll,,,10.666666666666666,3,32,0,32,
WW - Food,Meatball,,,10.25,4,41,0,41,
WW - Food,Caprese᠎,,,12.5,1,12.5,0,12.5,
WW - Food,Hummus,,,10,1,10,0,10,
WW - Food,Thank You Turkey,,,13.38888888888889,5,63,0,63,
WW - Food,Kids PB&Jwich,,,7.625,2,15.25,0,15.25,
WW - Food,Chzbgrwich᠎,,,10,1,10,0,10,
WW - Food,Reuben,,,11.6,7,90.5,0,90.5,
WW - Food,Italian Beef,,,11.125,2,22.25,0,22.25,
WW - Food,Krab Salad,,,13.277777777777779,5,72.5,0,72.5,
WW - Food,Land & Sea,,,13.75,2,27.5,0,27.5,
WW - Food,Turkey Vibewich,,,8.5,1,8.5,0,8.5,
WW - Food,Wicked Wednesday,,,9.958333333333334,7,70.5,0,70.5,
WW - Food,Chicken Parm,,,13.75,1,13.75,0,13.75,
WW - Food,Chzbgrwich,,,12,1,12,0,12,
WW - Food,Veggies & Egg,,,15.5,1,15.5,0,15.5,
WW - Food,Roast Beef Kidswich,,,5.75,1,5.75,0,5.75,
WW - Food,Land & Sea᠎,,,10.5,1,10.5,0,10.5,
WW - Food,Triple Cheese Please,,,8.5,1,8.5,0,8.5,
WW - Food,Elviswich,,,12.75,2,25.5,0,25.5,
WW - Food,Meatball᠎,,,8.5,2,17,0,17,
WW - Food,Steak & Egg,,,17.5,1,17.5,0,17.5,
No Sales Category,,,,0.44,73,31.96,0,31.96,
No Sales Category,Notes,,,0,69,0,0,0,
No Sales Category,AvoWich,,,7.99,4,31.96,0,31.96,
WW - NA Beverage,,,,3.34,91,303.5,1,302.5,
WW - NA Beverage,Shake,,,5.363636363636363,29,155,1,154,
WW - NA Beverage,Regular Drink,,,2.25,43,96.75,0,96.75,
WW - NA Beverage,Large Drink,,,2.75,18,49.5,0,49.5,
WW - NA Beverage,Bottled Water,,,2.25,1,2.25,0,2.25,
WW - Catering,,,,10.38,12,124.5,0,124.5,
WW - Catering,7" Classic Boxed Lunch,,,12,10,120,0,120,
WW - Catering,Bottled Water,,,2.25,2,4.5,0,4.5,
